MAS: Financial Database - Domestic Interest Rates Exchange Rates;;;;MAS: Financial Database - Exchange Rates;;;;;
;;;;;;;;;
Domestic Interest Rates (Daily) Exchange Rates (Daily);;;;Exchange Rates (Daily);;;;;
Mar 2000 to May 2024;;;;Mar 2000 to May 2024;;;;;
;;;;;;;;;
;;;;;;;;;
End of Period / SORA Value Date;Month;Date;Interbank 1-Week;Year;Month;Day;S$ Per Unit of US Dollar;tasa_EEUU;riesgo_MALASIA
;Dec;2;0,25;;;6;14.118;0,09;0,16
;;3;0,25;;;7;14.102;0,09;0,16
;;4;0,25;;;8;14.099;0,09;0,16
;;5;0,25;;;9;14.194;0,09;0,16
;;6;0,25;;;10;14.201;0,09;0,16
;;9;0,25;;;13;14.110;0,09;0,16
;;10;0,25;;;14;14.146;0,09;0,16
;;11;0,25;;;15;14.142;0,09;0,16
;;12;0,25;;;16;14.058;0,09;0,16
;;13;0,25;;;17;14.034;0,09;0,16
;;16;0,25;;;20;13.985;0,09;0,16
;;17;0,25;;;21;13.987;0,09;0,16
;;18;0,25;;;22;14.013;0,09;0,16
;;19;0,25;;;23;13.995;0,09;0,16
;;20;0,25;;;24;14.009;0,09;0,16
;;23;0,25;;;27;13.945;0,09;0,16
;;24;0,25;;;28;13.940;0,09;0,16
;;26;0,25;;;29;13.974;0,09;0,16
;;27;0,25;;;30;13.956;0,09;0,16
;;30;0,25;;;31;13.978;0,09;0,16
;;31;0,25;;Apr;3;13.957;0,09;0,16
;;;;;;4;13.968;;
;;;;;;5;13.979;;
;;;;;;6;14.016;;
 After a review of the market demand and usage of MAS-administered financial benchmarks; a decision was made to discontinue the following domestic interest rates with effect from 1 January 2014: ;;;;;7;14.017;;
    *  Interbank (overnight; 1-week; 1-month; 2-month;;;10;14.076;;
    *  3-month commercial bills;;;;;;11;14.070;;
    *  SGS Overnight Repo;;;;;;12;14.015;;
 Historical data for these rates will still be available on the MAS website, For further enquiries; please contact the Monetary and Domestic Markets Management Department at 6229 9150,;;;;;13;13.940;;
 The Singapore Overnight Rate Average or SORA is the volume-weighted average rate of borrowing transactions in the unsecured overnight interbank SGD cash market in Singapore between 8,00am and 6,15pm,;;;;;;17;13.950;;
 The SORA Publication Date is the same date as the SORA Compounded Index Value Date,;;;;;;18;13.983;;
 For the Singapore Interbank Offered Rates (SIBOR) and Swap Offer Rates (SOR); please refer to the Association of Banks in Singapore's website,;;;;;19;13.974;;
;;;;;;20;13.979;;
;;;;;;21;13.977;;
;;;;;;24;13.950;;
;;;;;;25;13.936;;
;;;;;;26;13.928;;
;;;;;;27;13.950;;
;;;;;;28;13.964;;
;;;;;May;2;13.941;;
;;;;;;3;13.938;;
;;;;;;4;13.970;;
;;;;;;5;14.015;;
;;;;;;8;14.037;;
;;;;;;9;14.067;;
;;;;;;11;14.112;;
;;;;;;12;14.091;;
;;;;;;15;14.032;;
;;;;;;16;13.981;;
;;;;;;17;13.937;;
;;;;;;18;13.902;;
;;;;;;19;13.924;;
;;;;;;22;13.871;;
;;;;;;23;13.883;;
;;;;;;24;13.904;;
;;;;;;25;13.836;;
;;;;;;26;13.858;;
;;;;;;29;13.844;;
;;;;;;30;13.874;;
;;;;;;31;13.847;;
;;;;;Jun;1;13.842;;
;;;;;;2;13.863;;
;;;;;;5;13.824;;
;;;;;;6;13.803;;
;;;;;;7;13.813;;
;;;;;;8;13.827;;
;;;;;;9;13.825;;
;;;;;;12;13.835;;
;;;;;;13;13.829;;
;;;;;;14;13.818;;
;;;;;;15;13.772;;
;;;;;;16;13.851;;
;;;;;;19;13.817;;
;;;;;;20;13.867;;
;;;;;;21;13.892;;
;;;;;;22;13.899;;
;;;;;;23;13.894;;
;;;;;;27;13.870;;
;;;;;;28;13.862;;
;;;;;;29;13.808;;
;;;;;;30;13.773;;
;;;;;Jul;3;13.782;;
;;;;;;4;13.811;;
;;;;;;5;13.807;;
;;;;;;6;13.814;;
;;;;;;7;13.822;;
;;;;;;10;13.822;;
;;;;;;11;13.841;;
;;;;;;12;13.804;;
;;;;;;13;13.769;;
;;;;;;14;13.756;;
;;;;;;17;13.701;;
;;;;;;18;13.681;;
;;;;;;19;13.677;;
;;;;;;20;13.698;;
;;;;;;21;13.658;;
;;;;;;24;13.619;;
;;;;;;25;13.614;;
;;;;;;26;13.634;;
;;;;;;27;13.553;;
;;;;;;28;13.608;;
;;;;;;31;13.579;;
;;;;;Aug;1;13.563;;
;;;;;;2;13.606;;
;;;;;;3;13.606;;
;;;;;;4;13.579;;
;;;;;;7;13.607;;
;;;;;;8;13.611;;
;;;;;;10;13.649;;
;;;;;;11;13.632;;
;;;;;;14;13.601;;
;;;;;;15;13.627;;
;;;;;;16;13.672;;
;;;;;;17;13.634;;
;;;;;;18;13.650;;
;;;;;;21;13.625;;
;;;;;;22;13.604;;
;;;;;;23;13.626;;
;;;;;;24;13.610;;
;;;;;;25;13.606;;
;;;;;;28;13.562;;
;;;;;;29;13.547;;
;;;;;;30;13.546;;
;;;;;;31;13.584;;
;;;;;Sep;4;13.573;;
;;;;;;5;13.551;;
;;;;;;6;13.534;;
;;;;;;7;13.479;;
;;;;;;8;13.370;;
;;;;;;11;13.431;;
;;;;;;12;13.456;;
;;;;;;13;13.457;;
;;;;;;14;13.510;;
;;;;;;15;13.467;;
;;;;;;18;13.440;;
;;;;;;19;13.473;;
;;;;;;20;13.463;;
;;;;;;21;13.518;;
;;;;;;22;13.491;;
;;;;;;25;13.467;;
;;;;;;26;13.504;;
;;;;;;27;13.554;;
;;;;;;28;13.624;;
;;;;;;29;13.584;;
;;;;;Oct;2;13.609;;
;;;;;;3;13.657;;
;;;;;;4;13.606;;
;;;;;;5;13.638;;
;;;;;;6;13.666;;
;;;;;;9;13.643;;
;;;;;;10;13.596;;
;;;;;;11;13.570;;
;;;;;;12;13.538;;
;;;;;;13;13.542;;
;;;;;;16;13.511;;
;;;;;;17;13.549;;
;;;;;;19;13.590;;
;;;;;;20;13.595;;
;;;;;;23;13.621;;
;;;;;;24;13.593;;
;;;;;;25;13.624;;
;;;;;;26;13.604;;
;;;;;;27;13.682;;
;;;;;;30;13.654;;
;;;;;;31;13.605;;
;;;;;Nov;1;13.620;;
;;;;;;2;13.587;;
;;;;;;3;13.612;;
;;;;;;6;13.644;;
;;;;;;7;13.622;;
;;;;;;8;13.637;;
;;;;;;9;13.618;;
;;;;;;10;13.589;;
;;;;;;13;13.605;;
;;;;;;14;13.611;;
;;;;;;15;13.589;;
;;;;;;16;13.571;;
;;;;;;17;13.541;;
;;;;;;20;13.571;;
;;;;;;21;13.565;;
;;;;;;22;13.543;;
;;;;;;23;13.474;;
;;;;;;24;13.468;;
;;;;;;27;13.461;;
;;;;;;28;13.467;;
;;;;;;29;13.465;;
;;;;;;30;13.476;;
;;;;;Dec;1;13.481;;
;;;;;;4;13.486;;
;;;;;;5;13.456;;
;;;;;;6;13.468;;
;;;;;;7;13.482;;
;;;;;;8;13.514;;
;;;;;;11;13.513;;
;;;;;;12;13.516;;
;;;;;;13;13.513;;
;;;;;;14;13.470;;
;;;;;;15;13.472;;
;;;;;;18;13.494;;
;;;;;;19;13.481;;
;;;;;;20;13.465;;
;;;;;;21;13.449;;
;;;;;;22;13.448;;
;;;;;;26;13.441;;
;;;;;;27;13.427;;
;;;;;;28;13.395;;
;;;;;;29;13.366;;
;;;;;;;;;
;;;;* Yearly; monthly and weekly figures are end period values,;;;;
;;;;* Daily figures are values as of noon,;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;End of Period;;;S$ Per Unit of US Dollar;;
;;;;2018;Jan;2;13.338;;
;;;;;;3;13.303;;
;;;;;;4;13.301;;
;;;;;;5;13.269;;
;;;;;;8;13.290;;
;;;;;;9;13.313;;
;;;;;;10;13.353;;
;;;;;;11;13.329;;
;;;;;;12;13.286;;
;;;;;;15;13.224;;
;;;;;;16;13.227;;
;;;;;;17;13.214;;
;;;;;;18;13.253;;
;;;;;;19;13.176;;
;;;;;;22;13.212;;
;;;;;;23;13.186;;
;;;;;;24;13.154;;
;;;;;;25;13.053;;
;;;;;;26;13.073;;
;;;;;;29;13.081;;
;;;;;;30;13.119;;
;;;;;;31;13.091;;
;;;;;Feb;1;13.116;;
;;;;;;2;13.115;;
;;;;;;5;13.180;;
;;;;;;6;13.219;;
;;;;;;7;13.178;;
;;;;;;8;13.291;;
;;;;;;9;13.323;;
;;;;;;12;13.259;;
;;;;;;13;13.233;;
;;;;;;14;13.185;;
;;;;;;15;13.132;;
;;;;;;19;13.115;;
;;;;;;20;13.156;;
;;;;;;21;13.193;;
;;;;;;22;13.251;;
;;;;;;23;13.208;;
;;;;;;26;13.184;;
;;;;;;27;13.173;;
;;;;;;28;13.258;;
;;;;;Mar;1;13.251;;
;;;;;;2;13.217;;
;;;;;;5;13.192;;
;;;;;;6;13.177;;
;;;;;;7;13.162;;
;;;;;;8;13.140;;
;;;;;;9;13.182;;
;;;;;;12;13.143;;
;;;;;;13;13.131;;
;;;;;;14;13.101;;
;;;;;;15;13.101;;
;;;;;;16;13.148;;
;;;;;;19;13.182;;
;;;;;;20;13.150;;
;;;;;;21;13.178;;
;;;;;;22;13.127;;
;;;;;;23;13.151;;
;;;;;;26;13.116;;
;;;;;;27;13.067;;
;;;;;;28;13.075;;
;;;;;;29;13.117;;
;;;;;Apr;2;13.107;;
;;;;;;3;13.102;;
;;;;;;4;13.107;;
;;;;;;5;13.125;;
;;;;;;6;13.170;;
;;;;;;9;13.127;;
;;;;;;10;13.108;;
;;;;;;11;13.088;;
;;;;;;12;13.095;;
;;;;;;13;13.118;;
;;;;;;16;13.128;;
;;;;;;17;13.103;;
;;;;;;18;13.108;;
;;;;;;19;13.095;;
;;;;;;20;13.123;;
;;;;;;23;13.169;;
;;;;;;24;13.232;;
;;;;;;25;13.243;;
;;;;;;26;13.274;;
;;;;;;27;13.269;;
;;;;;;30;13.238;;
;;;;;May;2;13.335;;
;;;;;;3;13.334;;
;;;;;;4;13.294;;
;;;;;;7;13.333;;
;;;;;;8;13.368;;
;;;;;;9;13.421;;
;;;;;;10;13.442;;
;;;;;;11;13.370;;
;;;;;;14;13.327;;
;;;;;;15;13.361;;
;;;;;;16;13.425;;
;;;;;;17;13.390;;
;;;;;;18;13.428;;
;;;;;;21;13.440;;
;;;;;;22;13.398;;
;;;;;;23;13.413;;
;;;;;;24;13.430;;
;;;;;;25;13.405;;
;;;;;;28;13.384;;
;;;;;;30;13.452;;
;;;;;;31;13.382;;
;;;;;Jun;1;13.391;;
;;;;;;4;13.366;;
;;;;;;5;13.352;;
;;;;;;6;13.326;;
;;;;;;7;13.316;;
;;;;;;8;13.339;;
;;;;;;11;13.341;;
;;;;;;12;13.352;;
;;;;;;13;13.371;;
;;;;;;14;13.363;;
;;;;;;18;13.513;;
;;;;;;19;13.510;;
;;;;;;20;13.569;;
;;;;;;21;13.614;;
;;;;;;22;13.582;;
;;;;;;25;13.624;;
;;;;;;26;13.609;;
;;;;;;27;13.626;;
;;;;;;28;13.675;;
;;;;;;29;13.650;;
;;;;;Jul;2;13.646;;
;;;;;;3;13.721;;
;;;;;;4;13.633;;
;;;;;;5;13.659;;
;;;;;;6;13.655;;
;;;;;;9;13.559;;
;;;;;;10;13.547;;
;;;;;;11;13.592;;
;;;;;;12;13.627;;
;;;;;;13;13.635;;
;;;;;;16;13.644;;
;;;;;;17;13.596;;
;;;;;;18;13.656;;
;;;;;;19;13.669;;
;;;;;;20;13.699;;
;;;;;;23;13.611;;
;;;;;;24;13.659;;
;;;;;;25;13.647;;
;;;;;;26;13.595;;
;;;;;;27;13.626;;
;;;;;;30;13.626;;
;;;;;;31;13.619;;
;;;;;Aug;1;13.617;;
;;;;;;2;13.651;;
;;;;;;3;13.687;;
;;;;;;6;13.660;;
;;;;;;7;13.682;;
;;;;;;8;13.634;;
;;;;;;10;13.670;;
;;;;;;13;13.757;;
;;;;;;14;13.747;;
;;;;;;15;13.804;;
;;;;;;16;13.745;;
;;;;;;17;13.749;;
;;;;;;20;13.703;;
;;;;;;21;13.667;;
;;;;;;23;13.709;;
;;;;;;24;13.731;;
;;;;;;27;13.640;;
;;;;;;28;13.641;;
;;;;;;29;13.641;;
;;;;;;30;13.659;;
;;;;;;31;13.684;;
;;;;;Sep;3;13.715;;
;;;;;;4;13.740;;
;;;;;;5;13.763;;
;;;;;;6;13.771;;
;;;;;;7;13.754;;
;;;;;;10;13.808;;
;;;;;;11;13.773;;
;;;;;;12;13.773;;
;;;;;;13;13.716;;
;;;;;;14;13.701;;
;;;;;;17;13.745;;
;;;;;;18;13.714;;
;;;;;;19;13.704;;
;;;;;;20;13.690;;
;;;;;;21;13.638;;
;;;;;;24;13.662;;
;;;;;;25;13.663;;
;;;;;;26;13.650;;
;;;;;;27;13.647;;
;;;;;;28;13.671;;
;;;;;Oct;1;13.693;;
;;;;;;2;13.729;;
;;;;;;3;13.737;;
;;;;;;4;13.810;;
;;;;;;5;13.819;;
;;;;;;8;13.832;;
;;;;;;9;13.836;;
;;;;;;10;13.805;;
;;;;;;11;13.820;;
;;;;;;12;13.739;;
;;;;;;15;13.789;;
;;;;;;16;13.771;;
;;;;;;17;13.748;;
;;;;;;18;13.776;;
;;;;;;19;13.792;;
;;;;;;22;13.765;;
;;;;;;23;13.815;;
;;;;;;24;13.775;;
;;;;;;25;13.807;;
;;;;;;26;13.837;;
;;;;;;29;13.807;;
;;;;;;30;13.832;;
;;;;;;31;13.865;;
;;;;;Nov;1;13.824;;
;;;;;;2;13.765;;
;;;;;;5;13.763;;
;;;;;;7;13.720;;
;;;;;;8;13.719;;
;;;;;;9;13.771;;
;;;;;;12;13.789;;
;;;;;;13;13.818;;
;;;;;;14;13.792;;
;;;;;;15;13.766;;
;;;;;;16;13.756;;
;;;;;;19;13.739;;
;;;;;;20;13.710;;
;;;;;;21;13.757;;
;;;;;;22;13.737;;
;;;;;;23;13.728;;
;;;;;;26;13.743;;
;;;;;;27;13.757;;
;;;;;;28;13.781;;
;;;;;;29;13.715;;
;;;;;;30;13.705;;
;;;;;Dec;3;13.688;;
;;;;;;4;13.653;;
;;;;;;5;13.685;;
;;;;;;6;13.701;;
;;;;;;7;13.685;;
;;;;;;10;13.693;;
;;;;;;11;13.730;;
;;;;;;12;13.731;;
;;;;;;13;13.710;;
;;;;;;14;13.722;;
;;;;;;17;13.750;;
;;;;;;18;13.716;;
;;;;;;19;13.688;;
;;;;;;20;13.731;;
;;;;;;21;13.685;;
;;;;;;24;13.722;;
;;;;;;26;13.713;;
;;;;;;27;13.730;;
;;;;;;28;13.685;;
;;;;;;31;13.648;;
;;;;;;;;;
;;;;* Yearly; monthly and weekly figures are end period values,;;;;
;;;;* Daily figures are values as of noon,;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;End of Period;;;S$ Per Unit of US Dollar;;
;;;;2019;Jan;2;13.660;;
;;;;;;3;13.660;;
;;;;;;4;13.620;;
;;;;;;7;13.571;;
;;;;;;8;13.582;;
;;;;;;9;13.568;;
;;;;;;10;13.507;;
;;;;;;11;13.516;;
;;;;;;14;13.535;;
;;;;;;15;13.525;;
;;;;;;16;13.550;;
;;;;;;17;13.560;;
;;;;;;18;13.558;;
;;;;;;21;13.593;;
;;;;;;22;13.599;;
;;;;;;23;13.597;;
;;;;;;24;13.586;;
;;;;;;25;13.591;;
;;;;;;28;13.517;;
;;;;;;29;13.536;;
;;;;;;30;13.514;;
;;;;;;31;13.465;;
;;;;;Feb;1;13.482;;
;;;;;;4;13.527;;
;;;;;;7;13.558;;
;;;;;;8;13.570;;
;;;;;;11;13.565;;
;;;;;;12;13.595;;
;;;;;;13;13.543;;
;;;;;;14;13.577;;
;;;;;;15;13.584;;
;;;;;;18;13.552;;
;;;;;;19;13.579;;
;;;;;;20;13.520;;
;;;;;;21;13.511;;
;;;;;;22;13.543;;
;;;;;;25;13.501;;
;;;;;;26;13.501;;
;;;;;;27;13.481;;
;;;;;;28;13.487;;
;;;;;Mar;1;13.526;;
;;;;;;4;13.534;;
;;;;;;5;13.553;;
;;;;;;6;13.582;;
;;;;;;7;13.569;;
;;;;;;8;13.600;;
;;;;;;11;13.595;;
;;;;;;12;13.562;;
;;;;;;13;13.567;;
;;;;;;14;13.544;;
;;;;;;15;13.551;;
;;;;;;18;13.521;;
;;;;;;19;13.505;;
;;;;;;20;13.523;;
;;;;;;21;13.470;;
;;;;;;22;13.491;;
;;;;;;25;13.515;;
;;;;;;26;13.495;;
;;;;;;27;13.536;;
;;;;;;28;13.552;;
;;;;;;29;13.559;;
;;;;;Apr;1;13.536;;
;;;;;;2;13.555;;
;;;;;;3;13.540;;
;;;;;;4;13.532;;
;;;;;;5;13.544;;
;;;;;;8;13.559;;
;;;;;;9;13.545;;
;;;;;;10;13.536;;
;;;;;;11;13.534;;
;;;;;;12;13.567;;
;;;;;;15;13.527;;
;;;;;;16;13.534;;
;;;;;;17;13.541;;
;;;;;;18;13.537;;
;;;;;;22;13.571;;
;;;;;;23;13.557;;
;;;;;;24;13.596;;
;;;;;;25;13.623;;
;;;;;;26;13.620;;
;;;;;;29;13.607;;
;;;;;;30;13.620;;
;;;;;May;2;13.608;;
;;;;;;3;13.627;;
;;;;;;6;13.643;;
;;;;;;7;13.633;;
;;;;;;8;13.610;;
;;;;;;9;13.630;;
;;;;;;10;13.629;;
;;;;;;13;13.660;;
;;;;;;14;13.682;;
;;;;;;15;13.681;;
;;;;;;16;13.683;;
;;;;;;17;13.744;;
;;;;;;21;13.756;;
;;;;;;22;13.787;;
;;;;;;23;13.797;;
;;;;;;24;13.799;;
;;;;;;27;13.734;;
;;;;;;28;13.769;;
;;;;;;29;13.804;;
;;;;;;30;13.793;;
;;;;;;31;13.789;;
;;;;;Jun;3;13.707;;
;;;;;;4;13.682;;
;;;;;;6;13.658;;
;;;;;;7;13.656;;
;;;;;;10;13.657;;
;;;;;;11;13.652;;
;;;;;;12;13.644;;
;;;;;;13;13.667;;
;;;;;;14;13.679;;
;;;;;;17;13.706;;
;;;;;;18;13.708;;
;;;;;;19;13.676;;
;;;;;;20;13.593;;
;;;;;;21;13.559;;
;;;;;;24;13.544;;
;;;;;;25;13.529;;
;;;;;;26;13.559;;
;;;;;;27;13.554;;
;;;;;;28;13.535;;
;;;;;Jul;1;13.529;;
;;;;;;2;13.565;;
;;;;;;3;13.558;;
;;;;;;4;13.555;;
;;;;;;5;13.560;;
;;;;;;8;13.612;;
;;;;;;9;13.608;;
;;;;;;10;13.623;;
;;;;;;11;13.552;;
;;;;;;12;13.577;;
;;;;;;15;13.564;;
;;;;;;16;13.560;;
;;;;;;17;13.604;;
;;;;;;18;13.591;;
;;;;;;19;13.564;;
;;;;;;22;13.609;;
;;;;;;23;13.630;;
;;;;;;24;13.653;;
;;;;;;25;13.649;;
;;;;;;26;13.682;;
;;;;;;29;13.718;;
;;;;;;30;13.692;;
;;;;;;31;13.694;;
;;;;;Aug;1;13.762;;
;;;;;;2;13.763;;
;;;;;;5;13.826;;
;;;;;;6;13.818;;
;;;;;;7;13.834;;
;;;;;;8;13.815;;
;;;;;;13;13.877;;
;;;;;;14;13.845;;
;;;;;;15;13.886;;
;;;;;;16;13.873;;
;;;;;;19;13.848;;
;;;;;;20;13.854;;
;;;;;;21;13.838;;
;;;;;;22;13.853;;
;;;;;;23;13.867;;
;;;;;;26;13.890;;
;;;;;;27;13.895;;
;;;;;;28;13.890;;
;;;;;;29;13.887;;
;;;;;;30;13.887;;
;;;;;Sep;2;13.892;;
;;;;;;3;13.940;;
;;;;;;4;13.898;;
;;;;;;5;13.836;;
;;;;;;6;13.844;;
;;;;;;9;13.803;;
;;;;;;10;13.805;;
;;;;;;11;13.793;;
;;;;;;12;13.763;;
;;;;;;13;13.737;;
;;;;;;16;13.733;;
;;;;;;17;13.765;;
;;;;;;18;13.755;;
;;;;;;19;13.789;;
;;;;;;20;13.758;;
;;;;;;23;13.761;;
;;;;;;24;13.777;;
;;;;;;25;13.764;;
;;;;;;26;13.789;;
;;;;;;27;13.824;;
;;;;;;30;13.813;;
;;;;;Oct;1;13.839;;
;;;;;;2;13.844;;
;;;;;;3;13.826;;
;;;;;;4;13.794;;
;;;;;;7;13.812;;
;;;;;;8;13.805;;
;;;;;;9;13.819;;
;;;;;;10;13.781;;
;;;;;;11;13.739;;
;;;;;;14;13.685;;
;;;;;;15;13.691;;
;;;;;;16;13.720;;
;;;;;;17;13.687;;
;;;;;;18;13.651;;
;;;;;;21;13.623;;
;;;;;;22;13.615;;
;;;;;;23;13.643;;
;;;;;;24;13.621;;
;;;;;;25;13.638;;
;;;;;;29;13.627;;
;;;;;;30;13.627;;
;;;;;;31;13.605;;
;;;;;Nov;1;13.587;;
;;;;;;4;13.566;;
;;;;;;5;13.583;;
;;;;;;6;13.581;;
;;;;;;7;13.603;;
;;;;;;8;13.586;;
;;;;;;11;13.612;;
;;;;;;12;13.610;;
;;;;;;13;13.628;;
;;;;;;14;13.635;;
;;;;;;15;13.611;;
;;;;;;18;13.604;;
;;;;;;19;13.611;;
;;;;;;20;13.614;;
;;;;;;21;13.625;;
;;;;;;22;13.624;;
;;;;;;25;13.640;;
;;;;;;26;13.652;;
;;;;;;27;13.657;;
;;;;;;28;13.661;;
;;;;;;29;13.660;;
;;;;;Dec;2;13.680;;
;;;;;;3;13.652;;
;;;;;;4;13.641;;
;;;;;;5;13.627;;
;;;;;;6;13.603;;
;;;;;;9;13.606;;
;;;;;;10;13.599;;
;;;;;;11;13.599;;
;;;;;;12;13.563;;
;;;;;;13;13.517;;
;;;;;;16;13.547;;
;;;;;;17;13.545;;
;;;;;;18;13.565;;
;;;;;;19;13.557;;
;;;;;;20;13.556;;
;;;;;;23;13.566;;
;;;;;;24;13.561;;
;;;;;;26;13.549;;
;;;;;;27;13.539;;
;;;;;;30;13.498;;
;;;;;;31;13.472;;
;;;;;;;;;
;;;;* Yearly; monthly and weekly figures are end period values,;;;;
;;;;* Daily figures are values as of noon,;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;End of Period;;;S$ Per Unit of US Dollar;;
;;;;2020;Jan;2;13.468;;
;;;;;;3;13.491;;
;;;;;;6;13.505;;
;;;;;;7;13.483;;
;;;;;;8;13.507;;
;;;;;;9;13.504;;
;;;;;;10;13.507;;
;;;;;;13;13.466;;
;;;;;;14;13.466;;
;;;;;;15;13.480;;
;;;;;;16;13.467;;
;;;;;;17;13.467;;
;;;;;;20;13.469;;
;;;;;;21;13.491;;
;;;;;;22;13.498;;
;;;;;;23;13.489;;
;;;;;;24;13.501;;
;;;;;;28;13.580;;
;;;;;;29;13.577;;
;;;;;;30;13.633;;
;;;;;;31;13.619;;
;;;;;Feb;3;13.681;;
;;;;;;4;13.708;;
;;;;;;5;13.806;;
;;;;;;6;13.853;;
;;;;;;7;13.856;;
;;;;;;10;13.896;;
;;;;;;11;13.877;;
;;;;;;12;13.859;;
;;;;;;13;13.878;;
;;;;;;14;13.897;;
;;;;;;17;13.902;;
;;;;;;18;13.905;;
;;;;;;19;13.909;;
;;;;;;20;14.007;;
;;;;;;21;13.999;;
;;;;;;24;14.013;;
;;;;;;25;13.968;;
;;;;;;26;13.981;;
;;;;;;27;13.968;;
;;;;;;28;13.977;;
;;;;;Mar;2;13.905;;
;;;;;;3;13.908;;
;;;;;;4;13.869;;
;;;;;;5;13.865;;
;;;;;;6;13.858;;
;;;;;;9;13.810;;
;;;;;;10;13.854;;
;;;;;;11;13.901;;
;;;;;;12;13.989;;
;;;;;;13;14.125;;
;;;;;;16;14.182;;
;;;;;;17;14.213;;
;;;;;;18;14.275;;
;;;;;;19;14.523;;
;;;;;;20;14.501;;
;;;;;;23;14.592;;
;;;;;;24;14.544;;
;;;;;;25;14.472;;
;;;;;;26;14.482;;
;;;;;;27;14.271;;
;;;;;;30;14.261;;
;;;;;;31;14.247;;
;;;;;Apr;1;14.244;;
;;;;;;2;14.356;;
;;;;;;3;14.314;;
;;;;;;6;14.403;;
;;;;;;7;14.317;;
;;;;;;8;14.287;;
;;;;;;9;14.249;;
;;;;;;13;14.169;;
;;;;;;14;14.145;;
;;;;;;15;14.144;;
;;;;;;16;14.286;;
;;;;;;17;14.241;;
;;;;;;20;14.225;;
;;;;;;21;14.259;;
;;;;;;22;14.297;;
;;;;;;23;14.268;;
;;;;;;24;14.258;;
;;;;;;27;14.217;;
;;;;;;28;14.211;;
;;;;;;29;14.153;;
;;;;;;30;14.108;;
;;;;;May;4;14.172;;
;;;;;;5;14.137;;
;;;;;;6;14.175;;
;;;;;;8;14.120;;
;;;;;;11;14.119;;
;;;;;;12;14.185;;
;;;;;;13;14.173;;
;;;;;;14;14.213;;
;;;;;;15;14.240;;
;;;;;;18;14.256;;
;;;;;;19;14.189;;
;;;;;;20;14.169;;
;;;;;;21;14.159;;
;;;;;;22;14.198;;
;;;;;;26;14.217;;
;;;;;;27;14.184;;
;;;;;;28;14.203;;
;;;;;;29;14.143;;
;;;;;Jun;1;14.084;;
;;;;;;2;14.061;;
;;;;;;3;13.965;;
;;;;;;4;14.018;;
;;;;;;5;13.951;;
;;;;;;8;13.937;;
;;;;;;9;13.898;;
;;;;;;10;13.876;;
;;;;;;11;13.890;;
;;;;;;12;13.921;;
;;;;;;15;13.938;;
;;;;;;16;13.893;;
;;;;;;17;13.949;;
;;;;;;18;13.922;;
;;;;;;19;13.936;;
;;;;;;22;13.956;;
;;;;;;23;13.938;;
;;;;;;24;13.876;;
;;;;;;25;13.924;;
;;;;;;26;13.910;;
;;;;;;29;13.940;;
;;;;;;30;13.932;;
;;;;;Jul;1;13.939;;
;;;;;;2;13.936;;
;;;;;;3;13.946;;
;;;;;;6;13.917;;
;;;;;;7;13.925;;
;;;;;;8;13.952;;
;;;;;;9;13.905;;
;;;;;;13;13.883;;
;;;;;;14;13.934;;
;;;;;;15;13.912;;
;;;;;;16;13.919;;
;;;;;;17;13.913;;
;;;;;;20;13.911;;
;;;;;;21;13.903;;
;;;;;;22;13.833;;
;;;;;;23;13.840;;
;;;;;;24;13.854;;
;;;;;;27;13.791;;
;;;;;;28;13.794;;
;;;;;;29;13.780;;
;;;;;;30;13.752;;
;;;;;Aug;3;13.760;;
;;;;;;4;13.760;;
;;;;;;5;13.713;;
;;;;;;6;13.696;;
;;;;;;7;13.724;;
;;;;;;11;13.726;;
;;;;;;12;13.751;;
;;;;;;13;13.714;;
;;;;;;14;13.733;;
;;;;;;17;13.697;;
;;;;;;18;13.676;;
;;;;;;19;13.654;;
;;;;;;20;13.694;;
;;;;;;21;13.667;;
;;;;;;24;13.723;;
;;;;;;25;13.692;;
;;;;;;26;13.685;;
;;;;;;27;13.656;;
;;;;;;28;13.641;;
;;;;;;31;13.579;;
;;;;;Sep;1;13.570;;
;;;;;;2;13.615;;
;;;;;;3;13.625;;
;;;;;;4;13.653;;
;;;;;;7;13.650;;
;;;;;;8;13.679;;
;;;;;;9;13.714;;
;;;;;;10;13.676;;
;;;;;;11;13.677;;
;;;;;;14;13.662;;
;;;;;;15;13.613;;
;;;;;;16;13.600;;
;;;;;;17;13.628;;
;;;;;;18;13.563;;
;;;;;;21;13.549;;
;;;;;;22;13.623;;
;;;;;;23;13.665;;
;;;;;;24;13.747;;
;;;;;;25;13.757;;
;;;;;;28;13.757;;
;;;;;;29;13.713;;
;;;;;;30;13.692;;
;;;;;Oct;1;13.634;;
;;;;;;2;13.658;;
;;;;;;5;13.625;;
;;;;;;6;13.592;;
;;;;;;7;13.619;;
;;;;;;8;13.592;;
;;;;;;9;13.565;;
;;;;;;12;13.543;;
;;;;;;13;13.593;;
;;;;;;14;13.590;;
;;;;;;15;13.577;;
;;;;;;16;13.612;;
;;;;;;19;13.577;;
;;;;;;20;13.572;;
;;;;;;21;13.556;;
;;;;;;22;13.564;;
;;;;;;23;13.589;;
