Date;Group;Series;Value;Group;Series;Value
18/04/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,7525
19/04/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,7375
20/04/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,755
21/04/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
22/04/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
23/04/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
24/04/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
25/04/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,8025
26/04/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,885
27/04/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,915
28/04/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,9275
29/04/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
30/04/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
1/05/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
2/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,935
3/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,985
4/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,095
5/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,09
6/05/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
7/05/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
8/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,08
9/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,0575
10/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,01
11/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,1075
12/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,1525
13/05/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
14/05/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
15/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,03
16/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,045
17/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,1275
18/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,1675
19/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,1375
20/05/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
21/05/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
22/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,145
23/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,18
24/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,195
25/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,205
26/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,105
27/05/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
28/05/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
29/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,09
30/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,0325
31/05/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,995
1/06/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
2/06/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,9225
3/06/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
4/06/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
5/06/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,8175
6/06/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,8125
7/06/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,695
8/06/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,6825
9/06/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,7375
10/06/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
11/06/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
12/06/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
13/06/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,65
14/06/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,575
15/06/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,5775
16/06/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,6575
17/06/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
18/06/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
19/06/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,6125
20/06/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,625
21/06/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,6625
22/06/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,7375
23/06/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
24/06/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
25/06/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
26/06/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,89
27/06/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,8825
28/06/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,89
29/06/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,8825
30/06/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,8125
1/07/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
2/07/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
3/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,805
4/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,835
5/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,815
6/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,8175
7/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,88
8/07/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
9/07/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
10/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,8725
11/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,83
12/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,8525
13/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,865
14/07/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;8,9175
15/07/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
16/07/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
