Banco de México;;;
;;;
Tasas y precios de referencia/ Tasa de campio peso-dólar;;;
Tasas de interés representativas;;;
;;;
Fecha de consulta: 13/05/2024 09:19:49;;;
;;;
;;;
;;;
Título;Tasas de interés interbancarias Por ciento anual, TIIE a 91 días;Tasa objetivo;Serie histórica del tipo de cambio, Tipo de cambio peso dólar desde 1954
Periodo disponible;23/01/1997 - 13/05/2024;21/01/2008 - 13/05/2024;19/04/1954 - 10/05/2024
Periodicidad;Diaria;Diaria;Diaria
Cifra;Porcentajes;Porcentajes;Tipo de Cambio
Unidad;Porcentajes;Sin Unidad;Pesos por Dólar
Base;;;
Aviso;;;
Tipo de información;Niveles;Niveles;Niveles
Fecha;SF43878;SF61745;SF63528
2/10/2001;N/E;N/E;9,5217
3/10/2001;N/E;N/E;9,5273
4/10/2001;119.650;N/E;9,5243
5/10/2001;N/E;N/E;9,5808
8/10/2001;N/E;N/E;9,5666
9/10/2001;N/E;N/E;9,5163
10/10/2001;N/E;N/E;9,4053
11/10/2001;116.000;N/E;9,3397
12/10/2001;N/E;N/E;9,3538
15/10/2001;N/E;N/E;9,2753
16/10/2001;N/E;N/E;9,235
17/10/2001;N/E;N/E;9,234
18/10/2001;108.850;N/E;9,231
19/10/2001;N/E;N/E;9,1971
22/10/2001;N/E;N/E;9,1977
23/10/2001;N/E;N/E;9,2243
24/10/2001;N/E;N/E;9,2173
25/10/2001;102.000;N/E;9,2469
26/10/2001;N/E;N/E;9,2722
29/10/2001;N/E;N/E;9,2421
30/10/2001;N/E;N/E;9,2682
31/10/2001;N/E;N/E;9,2542
1/11/2001;104.500;N/E;9,2892
2/11/2001;N/E;N/E;9,2783
5/11/2001;N/E;N/E;9,2221
6/11/2001;N/E;N/E;9,2132
7/11/2001;N/E;N/E;9,2088
8/11/2001;102.500;N/E;9,2115
9/11/2001;N/E;N/E;9,2318
12/11/2001;N/E;N/E;9,2708
13/11/2001;N/E;N/E;9,2519
14/11/2001;N/E;N/E;9,2362
15/11/2001;102.000;N/E;9,2028
16/11/2001;N/E;N/E;9,2121
19/11/2001;N/E;N/E;9,1968
21/11/2001;N/E;N/E;9,1409
22/11/2001;98.650;N/E;9,1547
23/11/2001;N/E;N/E;9,1476
26/11/2001;N/E;N/E;9,1647
27/11/2001;N/E;N/E;9,2372
28/11/2001;N/E;N/E;9,2762
29/11/2001;103.000;N/E;9,2815
30/11/2001;N/E;N/E;9,2681
3/12/2001;N/E;N/E;9,205
4/12/2001;N/E;N/E;9,2197
5/12/2001;N/E;N/E;9,2165
6/12/2001;98.000;N/E;9,2401
7/12/2001;N/E;N/E;9,2124
10/12/2001;N/E;N/E;9,1865
11/12/2001;N/E;N/E;9,1819
13/12/2001;86.250;N/E;9,1204
14/12/2001;N/E;N/E;9,0798
17/12/2001;N/E;N/E;9,1198
18/12/2001;N/E;N/E;9,1052
19/12/2001;N/E;N/E;9,1175
20/12/2001;86.500;N/E;9,1682
21/12/2001;N/E;N/E;9,1235
24/12/2001;N/E;N/E;9,0923
26/12/2001;N/E;N/E;9,0957
27/12/2001;83.900;N/E;9,1423
28/12/2001;N/E;N/E;9,1692
31/12/2001;N/E;N/E;9,1695
2/01/2002;N/E;N/E;9,1037
3/01/2002;81.150;N/E;9,1142
4/01/2002;N/E;N/E;9,1368
7/01/2002;N/E;N/E;9,1554
8/01/2002;N/E;N/E;9,1678
9/01/2002;N/E;N/E;9,2044
10/01/2002;80.500;N/E;9,2444
11/01/2002;N/E;N/E;9,2734
14/01/2002;N/E;N/E;9,1923
15/01/2002;N/E;N/E;9,1711
16/01/2002;N/E;N/E;9,1993
17/01/2002;81.500;N/E;9,1255
18/01/2002;N/E;N/E;9,119
21/01/2002;N/E;N/E;9,1219
22/01/2002;N/E;N/E;9,1521
23/01/2002;N/E;N/E;9,148
24/01/2002;84.800;N/E;9,1227
25/01/2002;N/E;N/E;9,1295
28/01/2002;N/E;N/E;9,1585
29/01/2002;N/E;N/E;9,1714
30/01/2002;N/E;N/E;9,1974
31/01/2002;94.000;N/E;9,1463
1/02/2002;N/E;N/E;9,1544
4/02/2002;N/E;N/E;9,1627
6/02/2002;N/E;N/E;9,1294
7/02/2002;89.750;N/E;9,1381
8/02/2002;N/E;N/E;9,1465
11/02/2002;N/E;N/E;9,0787
12/02/2002;N/E;N/E;9,0896
13/02/2002;N/E;N/E;9,0607
14/02/2002;93.800;N/E;9,0838
15/02/2002;N/E;N/E;9,0652
18/02/2002;N/E;N/E;9,0638
19/02/2002;N/E;N/E;9,069
20/02/2002;N/E;N/E;9,0858
21/02/2002;91.900;N/E;9,0757
22/02/2002;N/E;N/E;9,1061
25/02/2002;N/E;N/E;9,0831
26/02/2002;N/E;N/E;9,0815
27/02/2002;N/E;N/E;9,0919
28/02/2002;87.000;N/E;9,1303
1/03/2002;N/E;N/E;9,0957
4/03/2002;N/E;N/E;9,0723
5/03/2002;N/E;N/E;9,077
6/03/2002;N/E;N/E;9,0797
7/03/2002;83.000;N/E;9,0753
8/03/2002;N/E;N/E;9,0728
11/03/2002;N/E;N/E;9,0703
12/03/2002;N/E;N/E;9,0753
13/03/2002;N/E;N/E;9,1153
14/03/2002;86.000;N/E;9,1182
15/03/2002;N/E;N/E;9,0929
18/03/2002;N/E;N/E;9,0733
19/03/2002;N/E;N/E;9,0742
20/03/2002;90.500;N/E;9,0707
22/03/2002;N/E;N/E;9,0403
25/03/2002;N/E;N/E;9,0298
26/03/2002;N/E;N/E;9,0243
27/03/2002;85.000;N/E;9,016
1/04/2002;N/E;N/E;9,0049
2/04/2002;N/E;N/E;8,998
3/04/2002;N/E;N/E;9,0398
4/04/2002;77.500;N/E;9,0468
5/04/2002;N/E;N/E;9,0266
8/04/2002;N/E;N/E;9,0217
9/04/2002;N/E;N/E;9,0422
10/04/2002;N/E;N/E;9,0446
11/04/2002;73.300;N/E;9,0771
12/04/2002;N/E;N/E;9,0749
15/04/2002;N/E;N/E;9,1714
16/04/2002;N/E;N/E;9,1597
17/04/2002;N/E;N/E;9,1904
18/04/2002;68.750;N/E;9,2345
19/04/2002;N/E;N/E;9,2247
22/04/2002;N/E;N/E;9,2663
23/04/2002;N/E;N/E;9,2698
24/04/2002;N/E;N/E;9,2908
25/04/2002;65.250;N/E;9,3528
26/04/2002;N/E;N/E;9,3196
29/04/2002;N/E;N/E;9,3542
30/04/2002;68.500;N/E;9,372
2/05/2002;N/E;N/E;9,417
3/05/2002;N/E;N/E;9,4978
6/05/2002;N/E;N/E;9,4913
7/05/2002;N/E;N/E;9,4828
8/05/2002;N/E;N/E;9,417
9/05/2002;75.150;N/E;9,4463
10/05/2002;N/E;N/E;9,5102
13/05/2002;N/E;N/E;9,4933
14/05/2002;N/E;N/E;9,5204
15/05/2002;N/E;N/E;9,4717
16/05/2002;78.500;N/E;9,4863
17/05/2002;N/E;N/E;9,471
20/05/2002;N/E;N/E;9,491
21/05/2002;N/E;N/E;9,5133
22/05/2002;N/E;N/E;9,5245
23/05/2002;79.500;N/E;9,5165
24/05/2002;N/E;N/E;9,5585
27/05/2002;N/E;N/E;9,57
28/05/2002;N/E;N/E;9,5586
29/05/2002;N/E;N/E;9,6134
30/05/2002;79.750;N/E;9,7148
31/05/2002;N/E;N/E;9,6562
3/06/2002;N/E;N/E;9,6398
4/06/2002;N/E;N/E;9,706
5/06/2002;N/E;N/E;9,7345
6/06/2002;81.000;N/E;9,776
7/06/2002;N/E;N/E;9,7412
10/06/2002;N/E;N/E;9,6993
11/06/2002;N/E;N/E;9,6607
12/06/2002;N/E;N/E;9,7035
13/06/2002;82.000;N/E;9,6532
14/06/2002;N/E;N/E;9,6684
17/06/2002;N/E;N/E;9,6078
18/06/2002;N/E;N/E;9,6258
19/06/2002;N/E;N/E;9,6983
20/06/2002;79.650;N/E;9,7676
21/06/2002;N/E;N/E;9,9473
24/06/2002;N/E;N/E;9,936
25/06/2002;N/E;N/E;9,8203
26/06/2002;N/E;N/E;9,9998
27/06/2002;103.500;N/E;9,9615
28/06/2002;N/E;N/E;9,9568
1/07/2002;N/E;N/E;9,9283
2/07/2002;N/E;N/E;9,9612
3/07/2002;N/E;N/E;9,967
4/07/2002;94.750;N/E;9,9502
5/07/2002;N/E;N/E;9,9034
8/07/2002;N/E;N/E;9,9223
9/07/2002;N/E;N/E;9,8552
10/07/2002;N/E;N/E;9,8338
11/07/2002;87.200;N/E;9,7979
12/07/2002;N/E;N/E;9,7072
15/07/2002;N/E;N/E;9,7522
16/07/2002;N/E;N/E;9,7345
17/07/2002;N/E;N/E;9,6468
18/07/2002;84.750;N/E;9,6462
19/07/2002;N/E;N/E;9,7053
22/07/2002;N/E;N/E;9,6285
23/07/2002;N/E;N/E;9,613
24/07/2002;N/E;N/E;9,7018
25/07/2002;82.500;N/E;9,7158
26/07/2002;N/E;N/E;9,7652
29/07/2002;N/E;N/E;9,6944
30/07/2002;N/E;N/E;9,741
31/07/2002;N/E;N/E;9,7861
1/08/2002;82.000;N/E;9,8769
