"Date","Price","Open","High","Low","Change %"
"01/07/2017","3.690","3.690","3.690","3.690","0.00%"
"30/06/2017","3.690","3.690","3.690","3.690","0.00%"
"29/06/2017","3.690","3.690","3.690","3.690","0.27%"
"28/06/2017","3.680","3.680","3.680","3.680","-0.27%"
"27/06/2017","3.690","3.690","3.690","3.690","1.10%"
"25/06/2017","3.650","3.650","3.650","3.650","0.00%"
"24/06/2017","3.650","3.650","3.650","3.650","0.00%"
"23/06/2017","3.650","3.650","3.650","3.650","0.27%"
"22/06/2017","3.640","3.640","3.640","3.640","-1.09%"
"21/06/2017","3.680","3.680","3.680","3.680","-0.27%"
"20/06/2017","3.690","3.690","3.690","3.690","-0.27%"
"19/06/2017","3.700","3.700","3.700","3.700","-0.27%"
"17/06/2017","3.710","3.710","3.710","3.710","0.00%"
"16/06/2017","3.710","3.710","3.710","3.710","-0.27%"
"15/06/2017","3.720","3.720","3.720","3.720","2.76%"
"14/06/2017","3.620","3.620","3.620","3.620","-0.28%"
"13/06/2017","3.630","3.630","3.630","3.630","-0.27%"
"12/06/2017","3.640","3.640","3.640","3.640","-0.82%"
"10/06/2017","3.670","3.670","3.670","3.670","0.00%"
"09/06/2017","3.670","3.670","3.670","3.670","0.82%"
"08/06/2017","3.640","3.640","3.640","3.640","1.39%"
"07/06/2017","3.590","3.590","3.590","3.590","-0.28%"
"06/06/2017","3.600","3.600","3.600","3.600","-0.55%"
"05/06/2017","3.620","3.620","3.620","3.620","-0.28%"
"03/06/2017","3.630","3.630","3.630","3.630","0.00%"
"02/06/2017","3.630","3.630","3.630","3.630","-0.55%"
"01/06/2017","3.650","3.650","3.650","3.650","-0.54%"
"31/05/2017","3.670","3.670","3.670","3.670","-0.81%"
"30/05/2017","3.700","3.700","3.700","3.700","-1.33%"
"29/05/2017","3.750","3.750","3.750","3.750","0.27%"
"27/05/2017","3.740","3.740","3.740","3.740","0.00%"
"26/05/2017","3.740","3.740","3.740","3.740","0.27%"
"25/05/2017","3.730","3.730","3.730","3.730","0.81%"
"24/05/2017","3.700","3.700","3.700","3.700","-0.27%"
"23/05/2017","3.710","3.710","3.710","3.710","1.37%"
"22/05/2017","3.660","3.660","3.660","3.660","0.55%"
"20/05/2017","3.640","3.640","3.640","3.640","0.00%"
"19/05/2017","3.640","3.640","3.640","3.640","-0.55%"
"18/05/2017","3.660","3.660","3.660","3.660","0.27%"
"17/05/2017","3.650","3.650","3.650","3.650","-0.82%"
"16/05/2017","3.680","3.680","3.680","3.680","0.00%"
"15/05/2017","3.680","3.680","3.680","3.680","-0.81%"
"13/05/2017","3.710","3.710","3.710","3.710","0.00%"
"12/05/2017","3.710","3.710","3.710","3.710","-0.54%"
"11/05/2017","3.730","3.730","3.730","3.730","0.81%"
